timestamp,timesfm_p50_visitors,timesfm_q10_visitors,timesfm_q90_visitors,uncertainty_band,servers_needed_q90,autoscale_delta,autoscale_action,expected_utilization_p50,estimated_p95_latency_ms,downtime_risk_flag
1995-09-01 00:00:00,2157.6492,1662.7368,2690.3704,1027.6335,1,-1,scale_down,0.35960819492704443,147.40301977846582,low
1995-09-01 01:00:00,2020.9231,1493.9563,2638.3455,1144.3892,1,-1,scale_down,0.33682051589438405,143.72739874423598,low
1995-09-01 02:00:00,1782.4829,1193.6625,2459.1436,1265.4811,1,-1,scale_down,0.2970804849765282,138.00099126874434,low
1995-09-01 03:00:00,1633.2954,983.2897,2404.657,1421.3673,1,-1,scale_down,0.272215901647339,134.85193461314805,low
1995-09-01 04:00:00,1498.4863,875.03015,2300.1035,1425.0734,1,-1,scale_down,0.24974772131254203,132.2878732720377,low
1995-09-01 05:00:00,1527.6996,882.5476,2374.007,1491.4595,1,-1,scale_down,0.2546165974510535,132.8210652481172,low
1995-09-01 06:00:00,1892.6365,1188.7765,2822.582,1633.8055,1,-1,scale_down,0.3154394123823226,140.53943292988106,low
1995-09-01 07:00:00,2773.0852,1991.4708,3829.1318,1837.661,1,-1,scale_down,0.4621808674359907,167.59481765871575,low
1995-09-01 08:00:00,3697.3179,2851.1628,4790.077,1938.9143,2,0,hold,0.30810982256547,139.50408336287552,low
1995-09-01 09:00:00,4433.7666,3520.3784,5606.507,2086.1284,2,0,hold,0.36948055009941827,149.08538570305063,low
1995-09-01 10:00:00,4860.926,3897.6714,6074.0127,2176.3413,2,0,hold,0.40507714840374354,155.60872181759748,low
1995-09-01 11:00:00,4951.1504,3988.2532,6205.611,2217.3577,2,0,hold,0.41259586585103364,157.07900457843363,low
1995-09-01 12:00:00,5027.7754,4145.184,6165.823,2020.6392,2,0,hold,0.4189812825171682,158.35319212308187,low
1995-09-01 13:00:00,4910.4434,4042.1147,6083.385,2041.27,2,0,hold,0.4092036132471497,156.4116332440307,low
1995-09-01 14:00:00,4748.583,3917.1094,5894.343,1977.2334,2,0,hold,0.3957152506180654,153.8232613691868,low
1995-09-01 15:00:00,4643.3105,3900.8418,5748.1426,1847.3008,2,0,hold,0.3869425455406714,152.19553258006863,low
1995-09-01 16:00:00,3902.2085,3218.5742,4952.052,1733.4775,2,0,hold,0.32518404131404716,141.96127958622787,low
1995-09-01 17:00:00,2938.434,2346.212,3921.2373,1575.0254,2,0,hold,0.2448695068155317,131.76602325325698,low
1995-09-01 18:00:00,2262.4644,1724.4419,3193.5718,1469.1299,1,-1,scale_down,0.3770773925152787,150.41728434133532,low
1995-09-01 19:00:00,2004.9473,1464.6855,2858.4517,1393.7661,1,-1,scale_down,0.33415787754847365,143.31670060775951,low
1995-09-01 20:00:00,2044.0897,1471.2349,2921.0002,1449.7654,1,-1,scale_down,0.3406816202231676,144.32990968492246,low
1995-09-01 21:00:00,2240.6428,1663.3289,3130.1704,1466.8416,1,-1,scale_down,0.3734404703153641,149.77559076381544,low
1995-09-01 22:00:00,2467.1855,1854.5216,3392.319,1537.7975,1,-1,scale_down,0.41119759107730036,156.80311543392304,low
1995-09-01 23:00:00,2680.8877,2067.3315,3625.2722,1557.9407,1,-1,scale_down,0.44681461581094756,164.18283347596642,low
