timestamp,timesfm_p50_c,timesfm_q10_c,timesfm_q90_c,naive_last_c,seasonal60_c
2020-08-31 04:00:00,58.396706,57.89345,59.625355,58.85,66.42083
2020-08-31 04:01:00,58.741486,57.653137,60.673325,58.85,65.5625
2020-08-31 04:02:00,59.231964,57.607758,61.66956,58.85,64.82917
2020-08-31 04:03:00,59.88961,57.727646,62.817444,58.85,64.57083
2020-08-31 04:04:00,60.595768,57.968933,63.732353,58.85,64.525
2020-08-31 04:05:00,61.350582,58.38409,64.62275,58.85,63.025
2020-08-31 04:06:00,62.39996,59.15209,65.770195,58.85,61.75
2020-08-31 04:07:00,63.517044,60.037666,66.94306,58.85,61.191666
2020-08-31 04:08:00,64.328255,60.619183,67.61736,58.85,60.604168
2020-08-31 04:09:00,64.65165,60.84271,67.98422,58.85,60.1875
2020-08-31 04:10:00,64.68566,60.849426,67.98197,58.85,59.764286
2020-08-31 04:11:00,64.39672,60.556343,67.7687,58.85,59.358334
2020-08-31 04:12:00,63.89869,60.199642,67.16232,58.85,58.991665
2020-08-31 04:13:00,63.517704,59.929646,66.92857,58.85,58.720833
2020-08-31 04:14:00,63.049313,59.53442,66.44478,58.85,58.304165
2020-08-31 04:15:00,62.639343,59.219875,66.12529,58.85,58.066666
2020-08-31 04:16:00,62.218945,58.95904,65.74741,58.85,57.854168
2020-08-31 04:17:00,61.657032,58.509335,65.17801,58.85,57.491665
2020-08-31 04:18:00,61.18849,58.066814,64.73729,58.85,57.4625
2020-08-31 04:19:00,60.64071,57.631104,64.22467,58.85,60.554165
2020-08-31 04:20:00,60.21352,57.38097,63.822163,58.85,65.6
2020-08-31 04:21:00,59.778297,57.037315,63.38599,58.85,68.15833
2020-08-31 04:22:00,59.38687,56.76554,63.023567,58.85,67.520836
2020-08-31 04:23:00,59.176,56.500786,62.931595,58.85,66.2
2020-08-31 04:24:00,59.03708,56.46698,62.890903,58.85,65.254166
2020-08-31 04:25:00,59.049503,56.181522,63.001682,58.85,64.9875
2020-08-31 04:26:00,59.427555,56.55143,63.367958,58.85,64.6875
2020-08-31 04:27:00,59.844746,56.687737,63.78201,58.85,64.54583
2020-08-31 04:28:00,60.325645,56.95976,64.25019,58.85,62.866665
2020-08-31 04:29:00,60.762363,57.269375,64.713394,58.85,61.610714
2020-08-31 04:30:00,61.381992,57.730625,65.19297,58.85,61.0625
2020-08-31 04:31:00,62.15072,58.30367,65.96391,58.85,60.5625
2020-08-31 04:32:00,62.824127,58.870945,66.516556,58.85,60.054165
2020-08-31 04:33:00,63.492935,59.427643,67.2565,58.85,59.770832
2020-08-31 04:34:00,64.10816,60.01985,67.885765,58.85,59.429165
2020-08-31 04:35:00,64.4011,60.35243,68.20194,58.85,59.095833
2020-08-31 04:36:00,64.220566,60.281116,68.017975,58.85,58.745834
2020-08-31 04:37:00,63.649864,59.78335,67.48307,58.85,58.479168
2020-08-31 04:38:00,62.92402,59.21737,66.85695,58.85,58.133335
2020-08-31 04:39:00,62.239883,58.63905,66.25159,58.85,57.85
2020-08-31 04:40:00,61.593643,58.22689,65.71145,58.85,57.570835
2020-08-31 04:41:00,60.883163,57.670994,65.04063,58.85,57.395832
2020-08-31 04:42:00,60.248306,57.16682,64.46645,58.85,60.2625
2020-08-31 04:43:00,59.741646,56.79531,63.91849,58.85,65.29583
2020-08-31 04:44:00,59.173653,56.37188,63.42364,58.85,68.09167
2020-08-31 04:45:00,58.820484,56.12638,63.200127,58.85,67.808334
2020-08-31 04:46:00,58.721104,56.06135,63.134705,58.85,66.370834
2020-08-31 04:47:00,58.869633,56.129593,63.29901,58.85,65.541664
2020-08-31 04:48:00,59.129997,56.325016,63.596287,58.85,64.833336
2020-08-31 04:49:00,59.666428,56.714775,64.21767,58.85,64.63928
2020-08-31 04:50:00,60.20953,57.1188,64.841705,58.85,64.3625
2020-08-31 04:51:00,60.84071,57.545692,65.48529,58.85,62.670834
2020-08-31 04:52:00,61.549133,57.93372,66.30983,58.85,61.654167
2020-08-31 04:53:00,62.206985,58.483196,66.843605,58.85,61.083332
2020-08-31 04:54:00,62.74681,58.862446,67.354645,58.85,60.5375
2020-08-31 04:55:00,63.117508,59.07975,67.58767,58.85,60.125
2020-08-31 04:56:00,63.454357,59.35612,67.95284,58.85,59.7625
2020-08-31 04:57:00,63.61683,59.317085,68.038284,58.85,59.454166
2020-08-31 04:58:00,63.609177,59.318398,68.02145,58.85,59.158333
2020-08-31 04:59:00,63.511646,59.28873,67.96348,58.85,58.85
2020-08-31 05:00:00,62.907322,58.89209,67.30982,58.85,66.42083
2020-08-31 05:01:00,62.482372,58.519592,66.88374,58.85,65.5625
2020-08-31 05:02:00,61.91392,58.124344,66.32108,58.85,64.82917
2020-08-31 05:03:00,61.396473,57.713673,65.78071,58.85,64.57083
2020-08-31 05:04:00,60.935135,57.355957,65.408165,58.85,64.525
2020-08-31 05:05:00,60.47087,56.97544,65.0323,58.85,63.025
2020-08-31 05:06:00,60.23794,56.910194,64.870964,58.85,61.75
2020-08-31 05:07:00,60.05984,56.817806,64.79472,58.85,61.191666
2020-08-31 05:08:00,59.98433,56.879646,64.703636,58.85,60.604168
2020-08-31 05:09:00,60.13256,57.03078,64.99978,58.85,60.1875
2020-08-31 05:10:00,60.209324,57.126614,65.10102,58.85,59.764286
2020-08-31 05:11:00,60.42712,57.29423,65.38147,58.85,59.358334
2020-08-31 05:12:00,60.521034,57.325687,65.35697,58.85,58.991665
2020-08-31 05:13:00,60.784836,57.510754,65.65992,58.85,58.720833
2020-08-31 05:14:00,60.905247,57.65876,65.77641,58.85,58.304165
2020-08-31 05:15:00,61.15212,57.747578,65.91192,58.85,58.066666
2020-08-31 05:16:00,61.547447,58.03531,66.29875,58.85,57.854168
2020-08-31 05:17:00,61.80139,58.038204,66.52473,58.85,57.491665
2020-08-31 05:18:00,62.09898,58.242214,66.719505,58.85,57.4625
2020-08-31 05:19:00,62.424988,58.401653,66.95171,58.85,60.554165
2020-08-31 05:20:00,62.653442,58.525616,67.08058,58.85,65.6
2020-08-31 05:21:00,62.739403,58.44563,67.30131,58.85,68.15833
2020-08-31 05:22:00,62.70689,58.390083,67.28524,58.85,67.520836
2020-08-31 05:23:00,62.656853,58.351593,67.256836,58.85,66.2
2020-08-31 05:24:00,62.40305,58.145897,66.97446,58.85,65.254166
2020-08-31 05:25:00,61.99748,57.88634,66.57465,58.85,64.9875
2020-08-31 05:26:00,61.64929,57.628735,66.25294,58.85,64.6875
2020-08-31 05:27:00,61.247116,57.32648,65.95815,58.85,64.54583
2020-08-31 05:28:00,61.074547,57.25438,65.697044,58.85,62.866665
2020-08-31 05:29:00,60.852676,57.176674,65.51177,58.85,61.610714
2020-08-31 05:30:00,60.672546,57.219013,65.34337,58.85,61.0625
2020-08-31 05:31:00,60.457935,57.156876,65.231606,58.85,60.5625
2020-08-31 05:32:00,60.25827,57.05411,64.97891,58.85,60.054165
2020-08-31 05:33:00,60.189983,57.032066,64.977585,58.85,59.770832
2020-08-31 05:34:00,60.244892,57.119453,65.19315,58.85,59.429165
2020-08-31 05:35:00,60.24241,57.023705,65.3165,58.85,59.095833
2020-08-31 05:36:00,60.30707,56.975937,65.30617,58.85,58.745834
2020-08-31 05:37:00,60.55493,57.0589,65.57878,58.85,58.479168
2020-08-31 05:38:00,60.702705,57.060764,65.81039,58.85,58.133335
2020-08-31 05:39:00,60.899734,57.059647,66.093216,58.85,57.85
2020-08-31 05:40:00,61.315517,57.347473,66.505104,58.85,57.570835
2020-08-31 05:41:00,61.558613,57.410698,66.77695,58.85,57.395832
2020-08-31 05:42:00,61.913963,57.651043,66.92304,58.85,60.2625
2020-08-31 05:43:00,62.134586,57.64949,67.09257,58.85,65.29583
2020-08-31 05:44:00,62.230354,57.678375,67.03734,58.85,68.09167
2020-08-31 05:45:00,62.243248,57.66568,67.08635,58.85,67.808334
2020-08-31 05:46:00,62.240734,57.584137,67.13995,58.85,66.370834
2020-08-31 05:47:00,62.243275,57.585453,67.15611,58.85,65.541664
2020-08-31 05:48:00,62.1366,57.67665,66.951614,58.85,64.833336
2020-08-31 05:49:00,61.863724,57.524147,66.68672,58.85,64.63928
2020-08-31 05:50:00,61.48784,57.353348,66.24995,58.85,64.3625
2020-08-31 05:51:00,61.212673,57.064095,66.051254,58.85,62.670834
2020-08-31 05:52:00,60.974556,57.030167,65.812386,58.85,61.654167
2020-08-31 05:53:00,60.686703,56.869324,65.597916,58.85,61.083332
2020-08-31 05:54:00,60.404785,56.76932,65.33565,58.85,60.5375
2020-08-31 05:55:00,60.07918,56.549324,65.068306,58.85,60.125
2020-08-31 05:56:00,59.933533,56.49995,64.964294,58.85,59.7625
2020-08-31 05:57:00,59.90978,56.590256,64.981834,58.85,59.454166
2020-08-31 05:58:00,60.072906,56.78694,65.163216,58.85,59.158333
2020-08-31 05:59:00,60.304226,56.98231,65.43381,58.85,58.85
2020-08-31 06:00:00,60.4976,57.21786,65.63004,58.85,66.42083
2020-08-31 06:01:00,60.85869,57.416687,66.01283,58.85,65.5625
2020-08-31 06:02:00,61.266186,57.768806,66.35274,58.85,64.82917
2020-08-31 06:03:00,61.52169,57.783672,66.65681,58.85,64.57083
2020-08-31 06:04:00,61.776264,57.924026,66.83702,58.85,64.525
2020-08-31 06:05:00,62.07946,58.13346,67.15115,58.85,63.025
2020-08-31 06:06:00,62.118477,58.08651,67.1429,58.85,61.75
2020-08-31 06:07:00,62.179916,57.98988,67.07842,58.85,61.191666
2020-08-31 06:08:00,62.316097,58.09299,67.22562,58.85,60.604168
2020-08-31 06:09:00,62.244495,57.88995,67.07298,58.85,60.1875
2020-08-31 06:10:00,62.135796,57.845657,66.94894,58.85,59.764286
2020-08-31 06:11:00,61.973137,57.68505,66.80534,58.85,59.358334
2020-08-31 06:12:00,61.80172,57.61474,66.62895,58.85,58.991665
2020-08-31 06:13:00,61.63562,57.576797,66.41989,58.85,58.720833
2020-08-31 06:14:00,61.450527,57.44974,66.16981,58.85,58.304165
2020-08-31 06:15:00,61.20707,57.370728,66.03086,58.85,58.066666
